Date_________JDUT     R.A._(J2000.0)_DEC.            delta      deldot
**********************************************************************
$$SOE
2456706.500000000      18.10110   8.56294 1.28493094846075   0.9656086
2456707.500000000      19.01599   8.92413 1.28548526696019   0.9538068
2456708.500000000      19.93259   9.28305 1.28603276661837   0.9419835
2456709.500000000      20.85096   9.63961 1.28657341019685   0.9300508
2456710.500000000      21.77119   9.99372 1.28710710568308   0.9179069
2456711.500000000      22.69335  10.34528 1.28763369916509   0.9054392
2456712.500000000      23.61752  10.69420 1.28815297089058   0.8925310
2456713.500000000      24.54376  11.04039 1.28866462650556   0.8790499
2456714.500000000      25.47215  11.38375 1.28916830475700   0.8648924
2456715.500000000      26.40274  11.72418 1.28966359088776   0.8499818
2456716.500000000      27.33558  12.06160 1.29015004018205   0.8342948
2456717.500000000      28.27074  12.39590 1.29062721308622   0.8178736
2456718.500000000      29.20825  12.72700 1.29109514852016   0.8008243
2456719.500000000      30.14814  13.05478 1.29155265653568   0.7833017
2456720.500000000      31.09044  13.37913 1.29199994820465   0.7654776
2456721.500000000      32.03518  13.69998 1.29243690022359   0.7475205
2456722.500000000      32.98240  14.01721 1.29286347211610   0.7295597
2456723.500000000      33.93211  14.33072 1.29327969823260   0.7117111
2456724.500000000      34.88435  14.64043 1.29368566423205   0.6940442
2456725.500000000      35.83912  14.94623 1.29408149387389   0.6766199
2456726.500000000      36.79647  15.24803 1.29446733947624   0.6594823
2456727.500000000      37.75641  15.54573 1.29484337574983   0.6426549
2456728.500000000      38.71896  15.83923 1.29520978957532   0.6261674
2456729.500000000      39.68414  16.12845 1.29556678465226   0.6100450
2456730.500000000      40.65197  16.41329 1.29591457774802   0.5943064
2456731.500000000      41.62246  16.69365 1.29625339454565   0.5789651
2456732.500000000      42.59563  16.96945 1.29658346623310   0.5640242
2456733.500000000      43.57151  17.24059 1.29690502103881   0.5494715
2456734.500000000      44.55009  17.50699 1.29721827693922   0.5352816
2456735.500000000      45.53139  17.76856 1.29752343027253   0.5214049
2456736.500000000      46.51543  18.02520 1.29782064264450   0.5077719
2456737.500000000      47.50221  18.27684 1.29811003023428   0.4942939
2456738.500000000      48.49174  18.52338 1.29839165256537   0.4808649
2456739.500000000      49.48402  18.76475 1.29866550433405   0.4673661
2456740.500000000      50.47906  19.00085 1.29893150877452   0.4536712
2456741.500000000      51.47686  19.23162 1.29918951608951   0.4396540
2456742.500000000      52.47740  19.45695 1.29943930530633   0.4251967
2456743.500000000      53.48067  19.67678 1.29968059282878   0.4102020
2456744.500000000      54.48665  19.89101 1.29991304854564   0.3946086
2456745.500000000      55.49531  20.09958 1.30013632044448   0.3784039
2456746.500000000      56.50661  20.30240 1.30035006452978   0.3616269
2456747.500000000      57.52050  20.49940 1.30055397466163   0.3443724
2456748.500000000      58.53693  20.69050 1.30074781011136   0.3267649
2456749.500000000      59.55585  20.87561 1.30093113802188   0.3089466
2456750.500000000      60.57718  21.05468 1.30110441677929   0.2910562
2456751.500000000      61.60086  21.22762 1.30126737092070   0.2732151
2456752.500000000      62.62682  21.39437 1.30142006067020   0.2555289
2456753.500000000      63.65499  21.55486 1.30156259847808   0.2380741
2456754.500000000      64.68529  21.70903 1.30169513705890   0.2209143
2456755.500000000      65.71764  21.85681 1.30181786183916   0.2041003
2456756.500000000      66.75197  21.99814 1.30193098468748   0.1876752
2456757.500000000      67.78819  22.13297 1.30203474449879   0.1716843
2456758.500000000      68.82622  22.26123 1.30212940282697   0.1561666
2456759.500000000      69.86598  22.38288 1.30221524429298   0.1411608
